"TIME","GEO","GEO_LABEL","INDIC","INDIC_LABEL","S_ADJ","S_ADJ_LABEL","Value"
"2004M07","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.4"
"2004M08","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.4"
"2004M09","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.4"
"2004M10","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.4"
"2004M11","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.3"
"2004M12","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.3"
"2005M01","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.3"
"2005M02","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.1"
"2005M03","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.0"
"2005M04","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.2"
"2005M05","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.2"
"2005M06","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.2"
"2005M07","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.1"
"2005M08","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.1"
"2005M09","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.0"
"2005M10","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.1"
"2005M11","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.1"
"2005M12","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.3"
"2006M01","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.3"
"2006M02","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.5"
"2006M03","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.7"
"2006M04","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.0"
"2006M05","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.9"
"2006M06","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.2"
"2006M07","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.2"
"2006M08","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.2"
"2006M09","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.3"
"2006M10","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.3"
"2006M11","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.3"
"2006M12","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.4"
"2007M01","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.3"
"2007M02","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.5"
"2007M03","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.5"
"2007M04","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.6"
"2007M05","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.6"
"2007M06","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.6"
"2007M07","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.5"
"2007M08","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.5"
"2007M09","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.3"
"2007M10","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.1"
"2007M11","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.2"
"2007M12","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.1"
"2008M01","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.0"
"2008M02","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.9"
"2008M03","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.0"
"2008M04","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.7"
"2008M05","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.7"
"2008M06","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.4"
"2008M07","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.2"
"2008M08","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.1"
"2008M09","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.3"
"2008M10","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.8"
"2008M11","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-1.6"
"2008M12","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-2.3"
"2009M01","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-2.4"
"2009M02","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-3.0"
"2009M03","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-3.3"
"2009M04","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-3.2"
"2009M05","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-3.2"
"2009M06","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-3.2"
"2009M07","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-3.0"
"2009M08","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-2.6"
"2009M09","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-2.5"
"2009M10","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-2.2"
"2009M11","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-2.0"
"2009M12","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-1.8"
"2010M01","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-1.5"
"2010M02","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-1.3"
"2010M03","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-1.0"
"2010M04","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.6"
"2010M05","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.4"
"2010M06","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.2"
"2010M07","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.0"
"2010M08","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.2"
"2010M09","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.3"
"2010M10","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.5"
"2010M11","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.6"
"2010M12","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.9"
"2011M01","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.2"
"2011M02","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.2"
"2011M03","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.3"
"2011M04","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.2"
"2011M05","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.0"
"2011M06","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.0"
"2011M07","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.7"
"2011M08","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.4"
"2011M09","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.2"
"2011M10","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.2"
"2011M11","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.0"
"2011M12","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.1"
"2012M01","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.1"
"2012M02","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.2"
"2012M03","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.0"
"2012M04","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.1"
"2012M05","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.4"
"2012M06","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.5"
"2012M07","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.7"
"2012M08","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.7"
"2012M09","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.8"
"2012M10","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-1.1"
"2012M11","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.9"
"2012M12","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.8"
"2013M01","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.8"
"2013M02","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.6"
"2013M03","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.7"
"2013M04","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.9"
"2013M05","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.7"
"2013M06","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.6"
"2013M07","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.5"
"2013M08","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.3"
"2013M09","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.2"
"2013M10","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.1"
"2013M11","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.2"
"2013M12","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.2"
"2014M01","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.2"
"2014M02","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.3"
"2014M03","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.3"
"2014M04","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.3"
"2014M05","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.3"
"2014M06","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.2"
"2014M07","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.2"
"2014M08","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.2"
"2014M09","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.1"
"2014M10","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.1"
"2014M11","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.2"
"2014M12","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.2"
"2015M01","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.2"
"2015M02","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.2"
"2015M03","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.3"
"2015M04","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.4"
"2015M05","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.4"
"2015M06","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.3"
"2015M07","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.4"
"2015M08","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.3"
"2015M09","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.4"
"2015M10","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.4"
"2015M11","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.4"
"2015M12","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.4"
"2016M01","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.4"
